Fecha,Caudal,Caudal_log
2010-01-01,1.196,0.7866375236472842
2010-01-02,1.196,0.7866375236472842
2010-01-03,1.196,0.7866375236472842
2010-01-04,1.196,0.7866375236472842
2010-01-05,1.196,0.7866375236472842
2010-01-06,1.196,0.7866375236472842
2010-01-07,1.196,0.7866375236472842
2010-01-08,1.196,0.7866375236472842
2010-01-09,1.196,0.7866375236472842
2010-01-10,1.196,0.7866375236472842
2010-01-11,1.196,0.7866375236472842
2010-01-12,1.232181818181818,0.8029795009602776
2010-01-13,1.2683636363636364,0.8190587065071316
2010-01-14,1.3045454545454545,0.8348834572388216
2010-01-15,1.3407272727272728,0.8504616813919988
2010-01-16,1.3769090909090909,0.8658009423412978
2010-01-17,1.4130909090909092,0.8809084606497182
2010-01-18,1.4492727272727273,0.8957911344780057
2010-01-19,1.4854545454545454,0.9104555584974329
2010-01-20,1.5216363636363637,0.9249080414357729
2010-01-21,1.557818181818182,0.9391546223733108
2010-01-22,1.594,0.9532010858942521
2010-01-23,1.6301818181818182,0.9670529761886638
2010-01-24,1.6663636363636365,0.9807156101909892
2010-01-25,1.7025454545454546,0.9941940898330575
2010-01-26,1.7387272727272727,1.0074933134822528
2010-01-27,1.774909090909091,1.0206179866290161
2010-01-28,1.8110909090909093,1.0335726318820324
2010-01-29,1.8472727272727274,1.046361598324232
2010-01-30,1.8834545454545455,1.0589890702780387
2010-01-31,1.9196363636363638,1.0714590755240672
2010-02-01,1.955818181818182,1.0837754930136616
2010-02-02,1.992,1.0959420601122307
2010-02-03,2.0281818181818183,1.1079623794072178
2010-02-04,2.0643636363636366,1.1198399251117364
2010-02-05,2.100545454545455,1.1315780490923522
2010-02-06,2.136727272727273,1.1431799865471715
2010-02-07,2.172909090909091,1.154648861358309
2010-02-08,2.209090909090909,1.1659876911408804
2010-02-09,2.2452727272727273,1.1771993920089454
2010-02-10,2.2814545454545456,1.1882867830772232
2010-02-11,2.317636363636364,1.199252590715973
2010-02-12,2.3538181818181823,1.210099452575102
2010-02-13,2.39,1.220829921392359
2010-02-14,2.28,1.1878434223960523
2010-02-15,2.28,1.1878434223960523
2010-02-16,2.28,1.1878434223960523
2010-02-17,2.196,1.1619000279040284
2010-02-18,2.183,1.1578241482999556
2010-02-19,2.252,1.1792701916855641
2010-02-20,2.528,1.260731138144545
2010-02-21,2.5,1.252762968495368
2010-02-22,2.28,1.1878434223960523
2010-02-23,2.335,1.204472679367587
2010-02-24,2.716,1.3126478209515922
2010-02-25,2.713,1.3118401751949431
2010-02-26,3.635,1.5336361990178184
2010-02-27,2.61,1.2837077723447896
2010-02-28,2.335,1.204472679367587
2010-03-01,2.28,1.1878434223960523
2010-03-02,2.28,1.1878434223960523
2010-03-03,2.541,1.2644091731297666
2010-03-04,2.236,1.1743379991962453
2010-03-05,2.192,1.1606476795875624
2010-03-06,2.358,1.2113455586553492
2010-03-07,2.28,1.1878434223960523
2010-03-08,2.236,1.1743379991962453
2010-03-09,2.192,1.1606476795875624
2010-03-10,2.148,1.146767330555157
2010-03-11,2.385,1.2193539063642382
2010-03-12,2.236,1.1743379991962453
2010-03-13,2.353,1.2098554674840916
2010-03-14,2.148,1.146767330555157
2010-03-15,2.104,1.1326916023209723
2010-03-16,2.148,1.146767330555157
2010-03-17,2.491,1.250188228122899
2010-03-18,2.28,1.1878434223960523
2010-03-19,2.236,1.1743379991962453
2010-03-20,2.855,1.349371007015293
2010-03-21,2.61,1.2837077723447896
2010-03-22,2.39,1.220829921392359
2010-03-23,2.28,1.1878434223960523
2010-03-24,2.192,1.1606476795875624
2010-03-25,2.104,1.1326916023209723
2010-03-26,2.275,1.1863178690872151
2010-03-27,2.596,1.279822116609374
2010-03-28,2.104,1.1326916023209723
2010-03-29,2.104,1.1326916023209723
2010-03-30,2.651,1.2950011026734998
2010-03-31,2.61,1.2837077723447896
2010-04-01,2.236,1.1743379991962453
2010-04-02,2.148,1.146767330555157
2010-04-03,2.104,1.1326916023209723
2010-04-04,2.104,1.1326916023209723
2010-04-05,2.104,1.1326916023209723
2010-04-06,2.138,1.143585654310841
2010-04-07,2.359,1.2116433106301556
2010-04-08,4.705,1.741342983314039
2010-04-09,4.704,1.7411676831119947
2010-04-10,3.926,1.5945272996983462
2010-04-11,3.774,1.5631845279166383
2010-04-12,4.027,1.6148233847104383
2010-04-13,4.004,1.6102375926046646
2010-04-14,7.169,2.100346502359732
2010-04-15,5.445,1.8633046363911507
2010-04-16,3.881,1.5853501169050104
2010-04-17,3.965,1.602413297497136
2010-04-18,3.38,1.4770487243883548
2010-04-19,3.736,1.5551928975817046
2010-04-20,3.16,1.425515074273172
2010-04-21,2.94,1.3711807233098425
2010-04-22,2.885,1.3571229838196106
2010-04-23,2.885,1.3571229838196106
2010-04-24,2.94,1.3711807233098425
2010-04-25,2.94,1.3711807233098425
2010-04-26,3.627,1.5319087099248625
2010-04-27,3.169,1.42767619889866
2010-04-28,3.318,1.4627923320926155
2010-04-29,4.643,1.730415838987003
2010-04-30,4.395,1.6854725987100978
2010-05-01,3.868,1.5826831751252808
2010-05-02,3.502,1.5045217424845405
2010-05-03,3.38,1.4770487243883548
2010-05-04,3.27,1.451613827240533
2010-05-05,3.05,1.3987168811184478
2010-05-06,3.387,1.4786456221840771
2010-05-07,3.441,1.4908795763099651
2010-05-08,3.502,1.5045217424845405
2010-05-09,3.38,1.4770487243883548
2010-05-10,3.461,1.4953729561461278
2010-05-11,4.097,1.6286521313579048
2010-05-12,3.807,1.5700731889118238
2010-05-13,3.27,1.451613827240533
2010-05-14,3.215,1.4386495914538187
2010-05-15,3.16,1.425515074273172
2010-05-16,3.16,1.425515074273172
2010-05-17,3.16,1.425515074273172
2010-05-18,3.105,1.4122057429043917
2010-05-19,2.94,1.3711807233098425
2010-05-20,3.206,1.436512077280508
2010-05-21,3.444,1.4915548717773834
2010-05-22,3.178,1.429832663134374
2010-05-23,3.151,1.4233492690709018
2010-05-24,2.94,1.3711807233098425
2010-05-25,3.192,1.4331779470187411
2010-05-26,3.382,1.4775052411732748
2010-05-27,5.112,1.8102540518642194
2010-05-28,3.99,1.6074359097634274
2010-05-29,3.502,1.5045217424845405
2010-05-30,3.441,1.4908795763099651
2010-05-31,3.655,1.5379419107290302
2010-06-01,3.746,1.557302158013572
2010-06-02,3.441,1.4908795763099651
2010-06-03,5.006,1.7927589695611386
2010-06-04,3.496,1.50318811259139
2010-06-05,3.517,1.507848056672467
2010-06-06,4.019,1.6132307106727966
2010-06-07,3.563,1.5179803019452656
2010-06-08,3.502,1.5045217424845405
2010-06-09,3.502,1.5045217424845405
2010-06-10,3.16,1.425515074273172
2010-06-11,3.559,1.5171033012313044
2010-06-12,3.502,1.5045217424845405
2010-06-13,3.215,1.4386495914538187
2010-06-14,2.94,1.3711807233098425
2010-06-15,2.94,1.3711807233098425
2010-06-16,3.336,1.4669522641373451
2010-06-17,3.16,1.425515074273172
2010-06-18,3.105,1.4122057429043917
2010-06-19,3.05,1.3987168811184478
2010-06-20,3.05,1.3987168811184478
2010-06-21,3.05,1.3987168811184478
2010-06-22,3.05,1.3987168811184478
2010-06-23,3.105,1.4122057429043917
2010-06-24,3.05,1.3987168811184478
2010-06-25,2.94,1.3711807233098425
2010-06-26,2.995,1.385043579218238
2010-06-27,2.94,1.3711807233098425
2010-06-28,3.05,1.3987168811184478
2010-06-29,3.05,1.3987168811184478
2010-06-30,2.995,1.385043579218238
2010-07-01,3.16,1.425515074273172
2010-07-02,3.05,1.3987168811184478
2010-07-03,2.885,1.3571229838196106
2010-07-04,2.995,1.385043579218238
2010-07-05,3.27,1.451613827240533
2010-07-06,3.325,1.4644121403838426
2010-07-07,4.814,1.7602688021366841
2010-07-08,4.173,1.643452791021378
2010-07-09,3.807,1.5700731889118238
2010-07-10,3.38,1.4770487243883548
2010-07-11,2.885,1.3571229838196106
2010-07-12,2.94,1.3711807233098425
2010-07-13,3.126,1.41730841464906
2010-07-14,3.219,1.4395981331422014
